DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2020-Q4,9050,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2021-Q1,8570,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2021-Q2,9030,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2021-Q3,8740,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2021-Q4,9510,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2019-Q3,1790,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2019-Q4,1840,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2020-Q1,1360,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2020-Q2,1480,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2020-Q3,1760,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2020-Q4,1780,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2021-Q1,1370,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2021-Q2,1580,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2021-Q3,1840,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BG,2021-Q4,1890,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2019-Q3,15680,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2019-Q4,16080,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2020-Q1,15190,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2020-Q2,14540,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2020-Q3,15350,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2020-Q4,15730,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2021-Q1,15000,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2021-Q2,15590,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2021-Q3,15820,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CH,2021-Q4,16190,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2019-Q3,6470,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2019-Q4,6430,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2020-Q1,6020,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2020-Q2,5570,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2020-Q3,6110,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2020-Q4,6130,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2021-Q1,5840,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2021-Q2,6230,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2021-Q3,6370,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CY,2021-Q4,6470,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2019-Q3,4720,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2019-Q4,4750,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2020-Q1,4270,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2020-Q2,4140,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2020-Q3,4440,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2020-Q4,4490,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2021-Q1,4160,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2021-Q2,4520,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2021-Q3,4580,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,CZ,2021-Q4,4660,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2019-Q3,9070,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2019-Q4,9070,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2020-Q1,8810,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2020-Q2,7870,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2020-Q3,8730,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2020-Q4,8900,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2021-Q1,8550,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2021-Q2,8710,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2021-Q3,8980,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DE,2021-Q4,9050,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2019-Q3,12200,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2019-Q4,12670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2020-Q1,11950,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2020-Q2,11620,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2020-Q3,12010,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2020-Q4,12580,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2021-Q1,11870,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2021-Q2,12580,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2021-Q3,12390,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,DK,2021-Q4,13360,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2019-Q3,7830,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2019-Q4,7980,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2020-Q1,7440,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2020-Q2,6670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2020-Q3,7510,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2020-Q4,7670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2021-Q1,7370,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2021-Q2,7670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2021-Q3,7810,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA,2021-Q4,8010,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2019-Q3,7990,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2019-Q4,8140,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2020-Q1,7610,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2020-Q2,6810,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2020-Q3,7660,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2020-Q4,7830,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2021-Q1,7530,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2021-Q2,7830,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2021-Q3,7970,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA12,2021-Q4,8170,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2019-Q3,7830,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2019-Q4,7980,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2020-Q1,7440,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2020-Q2,6670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2020-Q3,7510,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2020-Q4,7670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2021-Q1,7370,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2021-Q2,7670,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2021-Q3,7810,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EA19,2021-Q4,8010,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2019-Q3,3930,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2019-Q4,4150,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2020-Q1,3570,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2020-Q2,3550,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2020-Q3,3810,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2020-Q4,4080,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2021-Q1,3700,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2021-Q2,4000,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2021-Q3,4130,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EE,2021-Q4,4430,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2019-Q3,4830,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2019-Q4,4450,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2020-Q1,3960,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2020-Q2,3730,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2020-Q3,4340,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2020-Q4,4150,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2021-Q1,3950,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2021-Q2,4310,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2021-Q3,4870,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EL,2021-Q4,4470,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2019-Q3,6260,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2019-Q4,6450,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2020-Q1,5810,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2020-Q2,4990,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2020-Q3,5690,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2020-Q4,5860,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2021-Q1,5540,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2021-Q2,5880,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2021-Q3,5900,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,ES,2021-Q4,6190,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU15,2019-Q3,8150,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU15,2019-Q4,8360,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2019-Q3,7020,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2019-Q4,7200,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2020-Q1,6650,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2020-Q2,6040,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2020-Q3,6750,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2020-Q4,6950,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2021-Q1,6600,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2021-Q2,6900,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2021-Q3,7030,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU27_2020,2021-Q4,7280,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU28,2019-Q3,7170,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,EU28,2019-Q4,7370,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2019-Q3,9220,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2019-Q4,9660,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2020-Q1,8870,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2020-Q2,8710,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2020-Q3,9010,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2020-Q4,9650,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2021-Q1,8740,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2021-Q2,9400,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,FI,2021-Q3,9310,
