DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-03,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-04,5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-05,4.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-06,4.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-07,4.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-08,4.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-09,4.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-10,4.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-11,4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-12,4.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-01,4.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-02,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-03,5.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-04,6.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-05,6.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-06,7.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-07,6.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-08,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-09,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-10,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-11,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2020-12,6.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-01,8.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-02,8.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-03,7.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-04,7.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-05,6.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-06,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-07,5.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-08,5.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-09,4.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-10,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-11,4.9,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2021-12,4.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2022-01,5.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2022-02,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-01,6.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-02,6.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-03,6.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-04,6.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-05,6.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-06,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-07,6.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-08,5.9,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-09,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-10,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-11,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2018-12,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-01,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-02,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-03,5.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-04,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-05,5.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-06,5.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-07,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-08,5.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-09,5.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-10,5.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-11,5.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2019-12,5.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-01,5.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-02,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-03,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-04,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-05,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-06,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-07,6.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-08,6.9,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-09,6.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-10,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-11,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2020-12,6.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-01,6.6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-02,6.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-03,6.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-04,6.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-05,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-06,6,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-07,6.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-08,6.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-09,6.3,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-10,5.9,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-11,5.7,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,BE:Belgium,2021-12,5.7,,
